team,members,event1,event2,event3,final
1팀,,,,,
2팀,,,,,
3팀,,,,,
4팀,,,,,
5팀,,,,,
6팀,,,,,
7팀,,,,,
8팀,,,,,
9팀,,,,,
10팀,,,,,
11팀,,,,,
12팀,,,,,
13팀,,,,,
14팀,,,,,
15팀,,,,,
16팀,,,,,
17팀,,,,,
18팀,,,,,
19팀,,,,,
20팀,,,,,
21팀,,,,,
22팀,,,,,
23팀,,,,,
24팀,,,,,
